,Jet.PT[0],Jet.PT[1],Jet.PT[2],Jet.PT[3],Jet.Phi[0],Jet.Phi[1],Jet.Phi[2],Jet.Phi[3],Jet.Eta[0],Jet.Eta[1],Jet.Eta[2],Jet.Eta[3],Jet.Mass[0],Jet.Mass[1],Jet.Mass[2],Jet.Mass[3],MissingET.MET,MissingET.Phi,MissingET.Eta,HT,DPhi_J0_J1,DPhi_MET_J0,DPhi_MET_J1,DPhi_MET_J2,DPhi_MET_J3,InvMass_J0_J1,InvMass_J0_J2,InvMass_J0_J3,InvMass_J1_J2,InvMass_J1_J3,InvMass_J2_J3,max_inv_mass
449,158.21664,157.36598,31.08161,23.436066,0.82019466,-2.186707,1.6062715,-2.5963078,1.6886525,-3.4412293,3.2730253,1.968007,9.167557,19.594826,2.356484,4.9775043,17.05714225769043,-0.7786628007888794,5.176413536071777,370.1003,3.0069017,1.5988574624061584,-1.4080442190170288,2.3849343061447144,-1.8176449537277222,2063.5342,134.95068,122.87392,2009.7137,904.719,61.19768,2063.5341796875
496,284.76117,247.32697,120.06571,32.243534,0.46817154,-3.0115175,-1.3738097,-3.0224519,-2.5365968,1.7680689,-0.7863985,0.7807734,28.40449,1.0789593e-05,8.333361,5.4598126,40.15898513793945,1.2028661966323853,4.287556171417236,684.3974,-2.8034964,-0.7346946597099304,2.0688015858279627,-2.5766758918762207,2.057867232953207,2312.9763,471.9984,522.5019,623.45,94.744064,142.10696,2312.976318359375
506,121.57185,95.18882,43.64386,,-1.0853364,1.4946958,2.6147976,,-2.2220836,0.027950328,3.7679038,,9.719692,0.0,6.4063635,,20.05771255493164,-2.5422072410583496,-4.253427982330322,260.40454,-2.5800323,1.4568707942962646,-2.2462822834597986,-1.1261804739581507,,361.5503,1458.9528,,414.0154,,,1458.9527587890625
578,165.76245,156.05058,41.79647,39.090847,1.2629249,-2.0030065,-2.3779402,0.8361303,2.2427325,-1.3996364,-2.525984,3.0361867,16.491116,0.0,5.888095,6.4491944,35.00975799560547,-0.024364929646253586,-3.8411967754364014,402.70038,-3.017254,1.2872898392379284,-1.9786415286362171,-2.353575248271227,0.860495250672102,1019.8388,910.3052,77.429,100.858345,725.7954,654.87317,1019.8388061523438
581,332.3621,169.76611,142.13896,57.444572,1.342192,-1.8720889,-1.8263546,-1.3043349,1.6220453,-1.8863698,-1.2483029,3.5155017,34.67214,3.627432,2.8778362,16.480766,18.013652801513672,-0.7646651864051819,-4.776885509490967,701.71173,-3.0689044,2.1068572402000427,-1.107423722743988,-1.0616894364356995,-0.5396696925163269,1414.4088,965.5172,407.84833,101.279625,1465.3665,971.1727,1465.366455078125
590,482.25305,378.74677,93.41995,51.65877,1.0228726,-2.1036134,-2.3031943,-1.5129437,-0.90453076,1.6650479,0.39372522,1.0593189,29.38416,23.00935,11.290972,4.7292256,12.129024505615234,2.966008424758911,-5.436154842376709,1006.07855,3.1264858,-1.9431358575820923,1.2135635058032435,1.0139825979815882,1.8042331377612513,1663.6633,517.57886,472.41458,262.1797,122.078865,73.215614,1663.663330078125
636,796.50714,782.0901,128.19522,26.202856,-1.105936,2.2037704,0.64379764,1.4640194,-0.15844426,0.8895449,-0.32422474,2.302091,106.50759,54.30093,21.995058,6.8376,39.501033782958984,-2.319610357284546,-3.3766732215881348,1732.9952,2.973479,1.2136743068695068,-1.7598045508014124,2.9634079933166504,-2.499555532132284,1804.2567,509.89343,542.9887,610.6232,250.21628,207.70718,1804.2567138671875
672,138.48874,85.91091,67.54371,36.490532,1.2658948,-1.7669387,-2.2017815,1.7853353,-3.8129077,2.0795705,2.7730775,1.2811661,21.47543,6.686655,6.590803,0.0,22.51686668395996,-1.150550365447998,5.387146949768066,328.4339,3.0328336,2.4164451360702515,-0.6163883209228516,-1.0512311458587646,2.9358856678009033,2082.115,2607.4868,903.17163,64.57748,119.07534,121.78041,2607.48681640625
673,385.23267,278.22232,171.74657,134.55183,0.37874755,-2.887035,-3.0983508,-0.09249729,0.13179941,-2.237384,2.3092408,0.94568366,23.568363,56.13942,33.418064,14.849915,18.93071174621582,-1.4443068504333496,3.268345832824707,969.75336,-3.0174031,1.8230544030666351,-1.442728042602539,-1.6540439128875732,1.351809561252594,1172.5491,848.3273,221.50128,2102.7983,990.0647,380.28534,2102.79833984375
685,403.12708,377.42935,164.56932,155.5867,2.5864785,-0.19632612,2.416615,-2.7751875,0.47871098,-2.190292,-0.7031834,-1.2079011,37.730854,22.63664,30.098444,3.8146973e-06,59.91834259033203,-1.3293757438659668,4.324989318847656,1100.7124,2.7828045,-2.367331091557638,1.1330496221780777,-2.537194554005758,-1.4458117485046387,1580.4486,332.91782,526.1695,636.42126,527.9773,190.76598,1580.4486083984375
694,451.96252,344.01566,138.58986,72.68416,2.691025,-0.80227935,0.5900375,0.87425685,-0.8761729,1.1303046,0.577671,-0.5816429,56.33471,22.540459,5.0940804,6.4496193,7.791325092315674,-2.091468095779419,-5.580885410308838,1007.25214,-2.7898812,-1.5006921927081507,1.2891887426376343,2.6815056204795837,2.9657249450683594,1215.0417,591.7397,297.52353,306.8046,386.29013,126.85829,1215.041748046875
782,75.47112,70.94023,64.3007,42.99764,2.6288207,-0.9661088,1.2736471,-0.7635295,0.44253764,-2.7516308,4.0100536,-1.4148542,5.272045,10.8379135,12.478448,-1.9073486e-06,7.89591646194458,0.18112868070602417,-3.716973304748535,253.70967,-2.688256,2.4476919770240784,-1.147237479686737,1.092518389225006,-0.9446581602096558,375.20297,413.2478,166.26503,1986.9425,81.08252,793.8775,1986.9425048828125
812,120.37552,110.91504,79.23785,67.5333,-2.8495698,0.49055997,-0.7932357,-2.2150025,-0.049751766,2.851458,0.30460215,-3.7522655,4.9235306,25.93375,9.115783,13.581051,27.38960075378418,2.781712532043457,2.650820016860962,378.0617,2.9430556,0.6519029776202601,-2.2911525666713715,2.7082370559321802,1.2864702383624476,520.4151,171.56374,563.2575,331.19894,2354.2124,556.311,2354.21240234375
815,304.83896,174.40627,150.04323,94.71638,2.1995194,-1.3923353,-0.37234837,-1.4880501,1.6129475,-1.6613048,-1.9228144,-0.91093814,14.630513,1.0789593e-05,19.502682,-3.3036247e-06,30.551851272583008,1.6259554624557495,0.6532543301582336,724.0048,-2.691331,0.5735639333724976,-3.0182907581329346,-1.9983038306236267,-3.1140055656433105,1225.9336,1284.3247,642.00256,165.74133,99.48304,179.56972,1284.32470703125
866,254.37549,210.87675,198.41763,39.224728,2.41948,0.025882501,-1.3041521,2.6029203,0.8685899,-1.7554392,2.7505033,2.8855782,31.348127,14.390143,3.936305,7.8948784,40.87116622924805,-2.2040209770202637,-3.9160585403442383,702.89465,2.3935976,-1.6596842447863978,2.2299034781754017,0.8998688459396362,-1.4762440363513392,908.49066,654.7574,242.4344,1941.6917,933.7558,165.1923,1941.691650390625
893,600.72876,340.3896,184.61107,110.83963,-2.8919473,0.2965261,0.023063121,0.59043354,0.6096333,-0.823283,2.4170148,0.6879264,99.119934,56.383556,16.381243,25.21434,20.578872680664062,-1.1351511478424072,-4.961376667022705,1236.569,3.094712,-1.75679612159729,1.4316772520542145,1.1582142692059278,1.7255846858024597,1156.953,966.82074,524.1515,1223.5901,337.61618,300.22803,1223.590087890625
910,410.8802,312.4513,169.07277,133.75583,-0.7564602,3.0635204,2.2301595,0.7440551,-2.5564854,1.4600016,-3.1827912,0.85256654,86.1566,9.51837,20.712667,16.30493,28.722454071044922,1.2509069442749023,5.613701820373535,1026.16,2.4632049,-2.0073671340942383,1.8126134872436523,0.9792525768280029,-0.506851851940155,2708.8528,564.32263,1291.4523,2327.1514,397.20593,1131.0952,2708.852783203125
920,293.02612,277.4582,81.809204,77.5577,-1.9196736,1.046466,3.061485,0.0963261,-0.8131089,2.3320022,0.19413605,-1.2398442,13.387417,60.248486,7.4415183,8.516588,9.000688552856445,-1.2247846126556396,-5.209388256072998,729.8512,-2.9661396,-0.6948889493942261,2.271250605583191,-1.996915642415182,1.3211107105016708,1434.2577,249.39026,264.0898,468.5647,863.74677,202.21397,1434.2576904296875
929,365.16852,269.43356,192.12032,27.642017,-0.37258294,-3.0116389,2.0218077,-1.9300799,-1.7428951,0.7068476,2.0138755,2.2802353,19.328672,3.8146973e-06,7.5748587,3.8335104,34.0238151550293,0.1868344247341156,-3.7788078784942627,854.3644,2.639056,-0.5594173669815063,3.0847120026694697,1.8349732458591461,-2.1169143617153168,1149.4786,1763.1586,751.3142,415.56955,174.68597,135.95174,1763.1585693359375
945,179.4896,154.76534,89.13329,56.339554,-0.30866468,2.550906,-1.5833054,2.0067883,-1.1400404,1.52749,-0.7456358,3.6721225,10.425958,15.539993,1.3486991e-06,5.456013,19.94344139099121,-3.1091551780700684,-4.724432468414307,479.72778,-2.8595705,2.8004904985427856,-0.6231241861926478,1.5258498191833496,-1.1672418753253382,675.3576,159.15094,1121.6592,388.27457,248.09927,652.30054,1121.6591796875
1079,113.12039,94.84885,50.683685,50.066025,-1.589149,1.4526645,-0.8367111,1.2245446,1.3767039,-3.7616124,-1.4265937,1.051924,8.604226,9.702569,1.5246458,8.736911,11.132856369018555,-2.2385916709899902,5.487001419067383,308.71893,-3.0418134,0.6494426727294922,-2.5919291416751307,1.4018805623054504,-2.820048991833822,1360.446,294.42648,151.83614,237.90019,760.11414,181.7849,1360.446044921875
1148,166.70941,140.68515,68.093956,67.34609,2.6774642,-0.48538408,-3.0811002,-0.72098976,-3.261467,1.9261509,-0.21810268,-3.369342,13.235103,21.493286,4.1354117,14.629896,10.090927124023438,0.7525485754013062,6.166071891784668,442.83463,-3.1203372,1.9249156713485718,-1.2379326522350311,2.4495365063296717,-1.473538339138031,2061.2866,468.76166,212.71342,316.12164,1368.5387,338.1456,2061.28662109375
1153,86.99534,57.224777,29.688522,28.81767,0.7015032,-2.017763,-2.2832866,3.0411806,-0.39031512,3.3968968,-3.041516,-0.92304385,5.24132,10.563276,3.4619417,4.4041743,21.694469451904297,1.2612404823303223,3.1963696479797363,202.72632,2.7192662,-0.5597372651100159,3.0041819254504603,2.7386582533465784,1.779940128326416,478.85712,204.9857,96.59853,1029.2949,351.3081,80.08126,1029.294921875
1188,134.65225,127.36732,41.71162,27.60517,-2.525668,0.9271962,-1.069192,0.47706693,3.5938942,-0.20459537,-2.3609915,-2.1033688,15.483023,3.490905,6.8914337,3.8274858,17.018640518188477,2.963679790496826,-5.527796268463135,331.33633,2.8303213,0.7938376108752649,-2.036483585834503,2.250313464795248,-2.486612856388092,893.875,1471.5624,1056.3322,225.85703,133.1463,49.379272,1471.5623779296875
1248,175.20389,130.20607,80.20119,58.552574,-0.4419057,2.7273834,0.733902,-2.6357331,-2.0205817,0.7357355,3.424419,-0.98491114,9.201828,-2.6973983e-06,14.549559,10.015534,5.746278762817383,1.535080909729004,-6.3407769203186035,444.16373,3.1138964,-1.9769866168498993,1.1923024654388428,-0.8011789321899414,2.112371269856588,637.3958,1801.1437,213.21622,403.92264,187.13228,630.072,1801.1436767578125
1308,513.79663,397.2492,82.50576,30.761175,1.3272861,-1.9172239,-1.8769339,-1.6608722,-0.9867518,0.5161087,2.626935,-0.6790146,17.852108,52.713207,9.615653,7.416876,14.58221435546875,-0.11611051112413406,3.4255661964416504,1024.3127,-3.0386753,1.4433966353535652,-1.8011134192347527,-1.7608234211802483,-1.544761709868908,1173.4211,1288.1583,256.64896,464.2183,155.39818,255.59819,1288.1583251953125
1424,276.87115,170.6998,89.090385,88.81765,-1.5380958,1.196367,1.9251367,1.4843003,-0.20819436,2.551007,-2.94332,-2.435087,6.782859,14.931781,7.1345663,10.73399,56.05546569824219,-1.023884892463684,-2.7422120571136475,625.47894,-2.7344627,-0.5142109394073486,2.2202519178390503,2.949021577835083,2.5081851482391357,914.5655,654.83466,528.9401,1917.8213,1480.122,63.16348,1917.8212890625
1516,72.67435,61.495865,35.284996,34.14086,0.7880889,-1.9311655,1.2852234,1.8691442,-1.792347,3.684406,2.5936687,0.31745,13.526189,9.53949,-2.6973983e-06,1.5659896,6.961069583892822,-0.16301681101322174,-5.754244327545166,203.59607,2.7192545,0.9511057287454605,-1.7681486457586288,1.4482401758432388,2.0321610122919083,1038.2208,449.29462,136.59315,107.8135,253.84691,99.32459,1038.2208251953125
1534,155.84143,117.37202,82.853584,65.7492,-0.21752666,-2.5550368,1.818359,2.3181212,-0.6134648,3.599898,-0.3638556,-1.4580204,10.100064,10.524725,2.43898,1.2528764,33.98993682861328,0.7458969354629517,-4.435737133026123,421.81622,2.33751,-0.9634235948324203,2.982251588498251,1.0724620819091797,1.5722242593765259,1123.9421,195.91776,212.7859,720.39435,1100.6073,92.46596,1123.942138671875
1549,133.54362,117.73894,62.421574,30.541595,-2.0290847,1.5049866,0.77645004,-1.8970666,-3.555395,0.65447587,-0.37740755,-2.1895518,13.93293,8.391336,-9.536743e-07,5.8896904,38.80791091918945,-0.7130612134933472,4.76715087890625,344.24573,2.749114,-1.3160234689712524,2.218047857284546,1.489511251449585,-1.1840053796768188,1043.8575,465.12042,98.82561,111.26334,262.98846,124.257416,1043.8575439453125
1565,208.20396,160.68564,69.40896,37.42163,2.1502776,-1.012733,-0.7238666,-3.134247,-1.2688518,1.9695408,-2.774633,-2.216718,0.0,18.07635,9.3479595,0.2762029,10.714801788330078,0.8653267621994019,4.981405735015869,475.72018,-3.120175,1.284950852394104,-1.8780597448349,-1.589193344116211,2.2836114803897303,960.01337,310.4387,121.186775,1123.0127,634.29407,100.03093,1123.0126953125
1612,157.41515,142.18161,76.17926,58.10002,0.6229348,-2.6923616,-0.9860027,2.2002113,2.0810256,-2.6007807,0.9058749,0.22263846,24.982105,11.364478,1.5429859,0.7331439,17.67607879638672,-1.897356629371643,3.5711400508880615,433.87604,-2.967889,2.5202914476394653,-0.7950049638748169,0.9113539457321167,-2.1856173912631434,1569.2341,210.2413,246.75659,603.7369,369.78424,140.88368,1569.234130859375
1631,134.22029,92.77054,82.00271,47.412815,1.3641781,-2.3747063,-0.45814797,-2.3514657,-1.1759307,1.8041382,2.2578096,3.9285614,11.2426815,-6.6072494e-06,0.0,7.6609387,6.3349175453186035,-1.6737922430038452,-6.0964860916137695,356.40634,-2.544301,3.0379703044891357,-0.7009140253067017,1.2156442701816559,-0.6776734590530396,516.39844,589.3093,1029.5911,148.20288,169.14786,154.73607,1029.591064453125
1655,503.86908,427.9428,52.407578,44.029217,0.3088576,-2.6957648,-2.796449,2.236179,-1.9382051,1.2279012,3.1173038,-0.14294408,52.270813,7.4092383,9.92798,13.2701645,32.86567306518555,1.3190944194793701,0.06885184347629547,1028.2487,3.0046225,-1.0102368295192719,2.2683261076556605,2.1676419417010706,0.9170846939086914,2356.6973,2049.3308,403.2955,327.8052,272.2069,247.66756,2356.697265625
1703,311.29022,275.5654,152.83846,148.25432,1.9373379,-1.990227,-0.027368091,-0.31279606,1.397722,-0.60997915,-1.8047822,-0.38449445,83.085434,15.027048,15.792405,0.0,48.393436431884766,1.3520139455795288,3.0920701026916504,887.94836,-2.3556206,0.5853239297866821,2.9409443775760096,-1.379382036626339,-1.6648100018501282,884.5757,1104.9808,590.3978,430.13968,304.67215,236.84053,1104.9808349609375
2015,357.43246,275.175,194.12352,158.68677,3.0261652,-0.066394515,-1.6619552,1.1829746,-1.9578314,2.6862493,-0.16258347,-1.6845827,19.384119,36.74189,4.9480147,19.659037,64.49320983886719,1.772398829460144,-1.7847349643707275,985.4177,3.0925598,1.253766417503357,-1.8387933447957039,2.8488312403308313,-0.5894242525100708,3229.0088,658.24054,387.60645,964.3121,1852.3514,455.4213,3229.0087890625
2040,196.18419,182.1475,96.66907,43.44548,2.524692,-0.5450145,0.037700124,2.8174205,-0.4762596,3.2197182,-0.30997837,-2.791875,10.544217,23.273926,18.508823,5.7257295,15.742175102233887,1.8015064001083374,-5.349874019622803,518.4462,3.0697064,0.723185658454895,-2.3465209007263184,-1.763806276023388,1.0159140825271606,1230.2828,264.16785,266.86252,761.80414,1801.69,245.01103,1801.68994140625
2096,943.22266,839.47516,74.69234,68.53645,2.4670298,-0.733125,-0.66710514,0.027644703,0.5407563,-1.0172739,1.8922951,1.4999775,43.95608,38.56781,4.2585177,11.986542,18.054136276245117,-1.6563299894332886,-4.765486240386963,1925.9266,-3.0830307,-2.1598255077945154,0.9232050180435181,0.9892248511314392,1.6839746925979853,2348.4656,658.6307,543.6039,1015.2299,798.36816,59.749737,2348.465576171875
2221,185.12549,151.24886,80.956604,,-1.7353595,0.9995734,2.544817,,1.090162,-2.5746877,-0.975244,,15.506497,25.76609,0.49546814,,25.694316864013672,0.3701680898666382,4.468031883239746,417.33093,-2.734933,-2.105527639389038,0.6294053196907043,2.174648880958557,,1071.1908,364.71762,,251.415,,,1071.1907958984375
2273,93.5732,83.95128,34.07529,33.52996,2.5528364,-0.7078168,-0.03980058,0.78249264,3.4134822,-1.6055892,-3.036805,2.3565874,12.4718275,12.939476,4.8513894,1.9073486e-06,10.461322784423828,-2.0224697589874268,-5.73305082321167,245.12973,-3.0225322,-1.707879130040304,1.3146529793739319,1.9826691783964634,2.804962396621704,1097.9136,1422.5784,107.41276,92.94975,384.5629,499.7858,1422.578369140625
2274,221.48405,144.07399,34.891872,24.634768,-0.1149598,2.8253381,-3.0131795,3.0733862,-2.1990914,1.986289,3.5724542,4.2187104,23.352509,4.8728647,1.4059197,6.3762503,75.27903747558594,-2.4799177646636963,1.9559837579727173,425.0847,-2.9402978,2.3649579659104347,-0.9779294172870081,-0.533261775970459,-0.7298813501941126,1470.0349,1580.1442,1831.6028,128.70314,163.44495,21.920311,1831.602783203125
2380,413.52783,222.36552,180.0595,42.418934,-2.6869938,0.6179757,0.12624298,0.94317037,-1.571069,2.0681293,-1.7069501,2.5354028,95.35093,34.050156,18.991602,6.827389,33.907405853271484,-1.87203848361969,1.7883533239364624,858.3718,2.978216,-0.8149553537368774,2.4900141954421997,1.9982814639806747,2.815208852291107,1924.3679,553.1054,1052.7424,1295.7168,69.25316,722.3023,1924.367919921875
2471,131.83844,122.24785,104.51394,86.65652,-2.4805117,0.93741196,-1.7059846,1.2854217,-2.9665363,2.2718637,1.2892398,3.2919288,11.6794195,2.8793929,15.296251,4.791953,15.678656578063965,-0.5189907550811768,-4.424208164215088,445.25674,2.8652618,-1.9615209102630615,1.4564027190208435,-1.1869938373565674,1.8044124841690063,1751.3568,976.696,2446.896,249.5854,115.50649,296.36273,2446.89599609375
2483,381.29056,196.26938,99.86782,89.034515,3.0561526,0.111413956,-0.10569046,-0.28221676,1.5709339,-0.52634287,-2.177513,0.16647743,28.188837,0.0,15.496805,2.9778378,8.682408332824707,-0.971396267414093,3.1876511573791504,766.4623,2.9447386,-2.255636457596914,1.0828102231025696,0.8657058104872704,0.6891795098781586,875.44806,1302.149,462.7887,260.80746,106.923096,276.33923,1302.1490478515625
2490,424.65213,284.00415,122.79782,26.540756,1.0284115,-1.883623,-2.3887553,-2.677805,-1.1704521,1.0219055,1.1601086,-3.4457242,83.14336,2.3107667,0.0,6.616593,13.637022018432617,-0.910137951374054,3.9043397903442383,857.9949,2.9120345,1.9385494589805603,-0.9734850525856018,-1.4786173701286316,-1.76766699552536,1157.3771,806.5824,375.14447,96.88202,804.071,565.6693,1157.3770751953125
2527,225.85612,180.09753,41.598713,35.64886,1.5991855,-1.3211045,-1.3166099,-2.514293,-0.79935545,2.3965023,0.37074167,-0.050526313,39.126057,16.410007,4.796933,2.8869627,8.761459350585938,-0.45731040835380554,-5.8607001304626465,483.20126,2.92029,2.056495875120163,-0.8637941181659698,-0.8592994511127472,-2.056982547044754,1040.055,231.16983,178.04828,208.86732,265.558,47.03243,1040.0550537109375
2616,217.37926,133.61343,118.318,72.361305,-3.1269267,0.14890075,-0.1163138,2.0566978,-1.208152,1.4869337,-2.7034,-1.7809001,0.0,18.066587,13.844364,11.733132,21.894542694091797,-1.5482125282287598,5.198240756988525,541.672,3.007358,-1.57871413230896,1.697113275527954,1.4318987280130386,-2.678274933491842,700.23645,414.44482,151.21063,1007.63995,511.36203,188.60143,1007.6399536132812
2636,449.142,326.7427,199.92589,75.21615,0.2850504,-2.1664627,3.1001887,2.5340307,-1.1461629,1.7566963,2.1916063,2.788115,35.467438,59.692554,7.3553987,1.7059845e-05,55.13020706176758,1.0573093891143799,-3.8628733158111572,1051.0267,2.451513,-0.772258996963501,3.059413258229391,2.042879343032837,1.4767212867736816,1708.3346,1644.509,1331.3335,285.34454,289.97888,101.46428,1708.3345947265625
2702,139.35638,127.213554,106.89995,94.47173,-1.5045743,1.4178525,2.7836063,-0.41890594,1.8939581,-0.7064937,-2.6347673,-1.6741015,8.144648,0.0,5.2222705,9.687495,5.267923831939697,-2.833231210708618,5.958425998687744,467.94165,-2.9224267,1.3286569118499756,-2.03210157552828,-0.6663478056537073,2.4143252670764923,524.21954,1180.1364,674.6392,300.00375,206.55066,225.4282,1180.1363525390625
2774,543.0044,482.7656,72.31252,,-1.255236,1.963306,1.7870387,,0.2677815,-1.3382039,-2.1986473,,106.96233,31.21209,13.728163,,21.493083953857422,0.09043341130018234,4.542053699493408,1098.0825,3.0646434,-1.3456694409251213,1.8728725388646126,1.696605272591114,,1383.6018,750.0994,,174.9675,,,1383.601806640625
2813,99.59662,49.67872,49.166195,31.049002,1.5153567,-2.1954436,-1.6049367,-1.2253734,2.0823472,-3.6158037,-1.899337,1.4203846,14.364194,6.1459055,4.6554036,6.4723625,29.661500930786133,-2.8608837127685547,4.347413063049316,229.49052,-2.5723853,-1.9069449345218104,0.6654400825500488,1.2559469938278198,1.6355103254318237,1218.6453,522.25635,117.54481,100.791245,486.08273,199.01872,1218.645263671875
2816,235.73631,126.83029,99.20954,57.848946,0.17607686,-3.1336312,-3.1347086,-3.1273923,-2.246478,1.6476897,-2.8039215,-3.714376,0.0,16.253551,17.989212,10.19772,9.287369728088379,0.6904476284980774,6.557868957519531,519.62506,-2.9734774,-0.5143707692623138,2.459106449280874,2.458029035721914,2.4653453866588038,1236.5952,317.9717,299.08026,1027.3755,1245.2578,77.865265,1245.2578125
2822,163.38138,106.12702,44.73933,,-1.751605,1.2941236,1.1445309,,2.714153,-1.6581342,-0.1404101,,15.918647,7.3096833,1.5315901,,7.303826808929443,2.784815788269043,-5.477383136749268,314.2477,-3.0457287,1.7467644850360315,-1.490692138671875,-1.6402848958969116,,1187.0227,376.6633,,115.71392,,,1187.022705078125
2879,377.4667,292.7194,182.30042,45.053352,-2.6808925,0.24043508,1.2147509,-1.3677765,1.1768103,-2.4768348,1.461469,-2.17636,47.16725,58.885357,11.337239,8.124788,24.77431297302246,-2.02652645111084,3.664630174636841,897.53986,-2.9213276,-0.6543660163879395,2.2669615298509598,-3.0419079701053064,0.6587499380111694,2120.849,497.4841,693.8051,1638.6705,181.84953,571.5887,2120.84912109375
2883,180.42851,179.3795,163.6484,135.75114,-2.8024745,0.33881196,0.5379779,-2.907582,-0.45317897,2.7775993,-3.0305805,-1.1883149,9.819154,19.765783,16.428247,-4.672031e-06,16.27884292602539,-1.1653836965560913,3.367183208465576,659.2076,-3.1412864,-1.637090802192688,1.504195660352707,1.7033615708351135,-1.7421983480453491,941.312,670.8288,119.70077,3117.6152,1155.1263,431.76468,3117.615234375
